timestamp,packet_drop_percentage,bits_per_second,jitter_ms,seconds,receiver_txpower,sender_txpower,receiver_sender_SNR,sender_receiver_SNR,receiver_sender_RSSI,sender_receiver_RSSI,receiver_noise,sender_noise,route
2025-01-21 09:41:58.935587840,0.3313086692435119,9998384.83768763,1.1614146043970275,4.223399,17,17,1,7,-90,-84,-91,-90,[]
2025-01-21 09:42:04.039547904,1.1319712865819989,9855056.718836123,1.2128466221660252,4.300148,17,17,3,7,-88,-84,-91,-91,[]
2025-01-21 09:42:09.142452992,0.0275709953129308,9565850.766494453,14.146930196789224,4.437376,17,17,2,6,-89,-84,-91,-89,[]
2025-01-21 09:42:14.368504064,0.05486968449931413,9766636.58903461,1.6317082169142143,4.345513,17,17,1,5,-90,-85,-91,-89,[]
2025-01-21 09:42:19.557524992,4.415798134942403,9932553.596885946,1.5961152012236721,4.301052,17,17,1,6,-91,-84,-92,-89,[]
2025-01-21 09:42:24.617938944,0.2484815019326339,9998377.68789299,1.67037932933491,4.272647,17,17,5,5,-86,-84,-92,-89,[]
2025-01-21 09:42:29.752070912,0.3036996134732192,9998361.005078595,0.9132898704006578,4.208305,17,17,0,4,-91,-85,-91,-88,[]
2025-01-21 09:42:34.760881920,0.41288191577208916,9734462.7880866,0.8749295547646724,4.336525,17,17,3,6,-88,-85,-92,-91,[]
2025-01-21 09:42:39.877462016,0.08282716731087797,9998325.25637808,1.4460547537098583,4.203468,17,17,1,4,-90,-85,-92,-91,[]
2025-01-21 09:42:44.861267200,0.3313086692435119,9998263.292569414,1.76698584601333,4.241445,17,17,1,4,-91,-85,-92,-89,[]
2025-01-21 09:42:51.050856192,0.027609055770292656,9998372.92136891,1.5863996731068328,4.218876,20,18,3,9,-88,-81,-92,-90,[]
2025-01-21 09:42:56.059691008,0.3013698630136986,9728265.40869708,1.9299163976525764,4.389703,20,18,4,9,-87,-81,-92,-90,[]
2025-01-21 09:43:01.299164160,0.0275027502750275,9970487.17006437,3.919249987602092,4.255505,20,18,7,8,-85,-80,-91,-88,[]
2025-01-21 09:43:06.361594880,0,9998313.34020138,1.9866525105051294,4.217447,20,18,2,6,-90,-83,-91,-90,[]
2025-01-21 09:43:11.328662016,0.05496015388843089,9658512.593453655,1.0141299273347903,4.440815,20,18,2,8,-90,-83,-91,-91,[]
2025-01-21 09:43:33.478560,0.027609055770292656,9998322.873140465,0.9197679196203595,4.19788,20,18,7,11,-85,-80,-92,-91,[]
2025-01-21 09:43:38.518477056,0,9998308.573738653,1.0839532688880749,4.198657,20,18,6,6,-85,-83,-92,-88,[]
2025-01-21 09:43:43.440280064,0,9998334.789339887,1.0608396155849147,4.198107,20,18,6,12,-85,-79,-92,-91,[]
2025-01-21 09:43:48.398874880,0,9998294.27437774,1.6917605055250449,4.205721,20,18,2,9,-89,-82,-91,-91,[]
2025-01-21 09:43:53.364749056,0,9998344.322319875,1.343089201804531,4.197914,20,18,1,5,-90,-83,-92,-89,[]
2025-01-21 09:43:58.463558912,0.9655172413793104,9973393.30297315,2.942167037067462,4.309286,19,17,6,7,-85,-83,-92,-90,[]
2025-01-21 09:44:03.623457024,0.27609055770292656,9998380.07115673,2.5213033282823973,4.273118,19,17,5,9,-87,-81,-91,-90,[]
2025-01-21 09:44:08.624423936,0.11043622308117063,9998361.005078595,1.3405276533116068,4.20723,19,17,4,7,-86,-83,-90,-90,[]
2025-01-21 09:44:25.061907968,0.41242782513060217,9949925.182509333,0.977549417163099,4.262157,19,17,2,7,-89,-84,-91,-91,[]
2025-01-21 09:44:30.115822080,0.11019283746556474,8821840.24911983,2.0681148036007153,4.843105,19,17,1,9,-90,-82,-92,-91,[]
2025-01-21 09:44:35.741307904,0,9998346.70556771,1.4080409760022135,4.210006,19,17,0,5,-92,-86,-92,-91,[]
2025-01-21 09:44:40.713850112,0.16556291390728478,9881760.423588596,2.6163649887004348,4.298755,19,17,1,7,-91,-82,-92,-89,[]
2025-01-21 09:44:45.796505856,0.3313086692435119,9639902.428127617,2.1201606852364843,4.371344,19,17,6,6,-86,-83,-92,-89,[]
2025-01-21 09:44:50.953829888,0.05521811154058531,9998330.02285671,1.4819168875038853,4.207367,19,17,2,7,-90,-83,-91,-90,[]
2025-01-21 09:44:55.910255872,0,9998351.472066795,0.9552024692403958,4.197856,19,17,6,8,-86,-83,-92,-91,[]
2025-01-21 09:45:00.953324032,0,9998265.675778624,1.4478280555322978,4.214163,17,20,4,8,-87,-83,-91,-91,[]
2025-01-21 09:45:05.901968128,0,9998365.771591313,1.6793306516475581,4.216885,17,20,4,6,-87,-84,-91,-91,[]
2025-01-21 09:45:10.866481152,0.08282716731087797,9998277.591841707,1.2399460327245253,4.208611,17,20,8,6,-83,-85,-91,-91,[]
2025-01-21 09:45:15.824670976,0.027382256297918947,9997771.768692287,1.2275622282987744,4.252891,17,20,8,7,-83,-84,-91,-91,[]
2025-01-21 09:45:20.857774848,0.027609055770292656,9998322.873140465,1.3688104682556572,4.200546,17,20,5,7,-87,-84,-92,-91,[]
2025-01-21 09:45:25.807249152,0,9998320.48990399,1.6167894811387336,4.202703,17,20,10,6,-82,-85,-91,-92,[]
2025-01-21 09:45:30.765636864,0.05521811154058531,9998308.573738653,1.2465602679825127,4.236071,17,20,6,7,-85,-84,-91,-91,[]
2025-01-21 09:45:35.753725952,0.22087244616234125,9998153.66617398,0.806499847389289,4.200479,17,20,9,8,-82,-82,-91,-90,[]
2025-01-21 09:45:40.706845952,0,9831712.7605913,7.42855566624916,4.360771,17,20,4,5,-87,-85,-92,-90,[]
2025-01-21 09:45:57.157880064,0,9998284.74149319,1.1175848595335827,4.202935,17,20,4,8,-87,-83,-92,-91,[]
2025-01-21 09:46:02.259677952,0,9998294.27437774,0.6894349923268852,4.199001,17,20,5,8,-87,-83,-91,-91,[]
2025-01-21 09:46:07.210088960,0.11043622308117063,9998361.005078595,1.6245422235580533,4.207195,17,20,8,6,-84,-83,-91,-89,[]
2025-01-21 09:46:12.203098112,0.11043622308117063,9998196.563172847,0.828195708662453,4.196767,17,20,5,4,-87,-86,-92,-90,[]
2025-01-21 09:46:17.130244096,0.05521811154058531,9998251.376540415,0.8275839285338503,4.1975,17,20,5,5,-87,-85,-92,-90,[]
2025-01-21 09:46:22.056782848,0,9998308.573738653,1.2575601566844163,4.203201,17,20,5,8,-86,-83,-91,-91,[]
2025-01-21 09:46:26.999213824,0,9998256.142948605,1.2315584449276538,4.204955,17,20,3,5,-88,-86,-91,-91,[]
2025-01-21 09:46:31.948281088,0,9998330.02285671,1.3474621057341591,4.202941,17,20,9,9,-83,-82,-92,-91,[]
2025-01-21 09:46:36.885817088,0.13804527885146328,9998337.17258318,0.9977139116932674,4.198282,17,20,9,5,-83,-85,-91,-90,[]
2025-01-21 09:46:41.931150848,0.16565433462175594,9998339.55582761,3.9223606389827674,4.290373,17,20,5,6,-86,-84,-92,-89,[]
2025-01-21 09:46:46.958530816,0,9998346.70556771,1.3856167157170796,4.207049,17,20,5,2,-86,-86,-92,-88,[]
2025-01-21 09:46:52.013484032,0.027609055770292656,9998365.771591313,1.2336551266407174,4.198614,18,18,1,6,-90,-84,-91,-90,[]
2025-01-21 09:46:56.954808064,0.05521811154058531,9998372.92136891,1.0116678905162257,4.210894,18,18,6,6,-85,-84,-91,-90,[]
2025-01-21 09:47:01.889179904,0,9998341.939073175,1.4721009907073337,4.202975,18,18,7,4,-85,-85,-91,-88,[]
2025-01-21 09:47:06.798390016,0.05521811154058531,9998389.60422307,1.374772662527369,4.209865,18,18,6,5,-85,-84,-91,-89,[]
2025-01-21 09:47:11.749044992,0,9998353.85531804,1.2471266128478065,4.201309,18,18,4,9,-87,-82,-91,-91,[]
2025-01-21 09:47:16.660284160,0.19273127753303965,9624900.74406209,3.207909893866557,4.411903,18,18,5,7,-87,-84,-92,-91,[]
2025-01-21 09:47:21.836862976,0.16565433462175594,9998299.040826833,1.2227431987424453,4.206552,18,18,6,8,-85,-83,-91,-91,[]
2025-01-21 09:47:26.771159040,0,9998289.507933194,2.6296592061165716,4.267357,18,18,7,7,-85,-83,-92,-90,[]
2025-01-21 09:47:31.762542080,0,9998330.02285671,1.7803411147832247,4.290547,18,18,6,7,-85,-84,-91,-91,[]
2025-01-21 09:47:53.576649984,0,9998315.723434446,1.6211038424670987,4.235015,18,18,1,9,-90,-81,-91,-90,[]
2025-01-21 09:47:58.673829120,0.05521811154058531,9998322.873140465,1.2276895577806537,4.202881,17,20,4,6,-87,-85,-92,-91,[]
2025-01-21 09:48:03.618956032,0.7730535615681944,9998296.65760172,1.2833662491438953,4.206976,17,20,10,5,-82,-85,-92,-90,[]
2025-01-21 09:48:08.546848,0.027609055770292656,9998284.74149319,1.0606732064626871,4.196813,17,20,6,6,-85,-85,-92,-91,[]
2025-01-21 09:48:13.458992896,0.05521811154058531,9998232.310953094,1.4553072695825309,4.200164,17,20,8,5,-83,-85,-92,-90,[]
2025-01-21 09:48:18.470580992,0,9998218.01181032,2.444824273615255,4.280109,17,20,7,8,-83,-82,-90,-90,[]
2025-01-21 09:48:23.497510912,0,9998179.88096288,1.44555791736044,4.205061,17,20,4,6,-87,-85,-92,-91,[]
2025-01-21 09:48:28.488576768,0.027609055770292656,9998334.789339887,1.2492637854788884,4.198119,17,20,9,5,-83,-84,-92,-89,[]
2025-01-21 09:48:33.411762944,0.027609055770292656,9998318.10666865,1.36547782391227,4.204171,17,20,9,6,-82,-84,-92,-90,[]
2025-01-21 09:48:38.327800064,0,9998330.02285671,1.3655925150841624,4.202571,17,20,9,5,-82,-86,-91,-90,[]
2025-01-21 09:48:43.250021888,0.11043622308117063,9998349.088816686,1.1611908263876112,4.202086,17,20,8,5,-83,-86,-92,-90,[]
2025-01-21 09:48:48.292880128,0,9998368.154849377,2.0060731526761253,4.213855,17,20,9,5,-83,-85,-92,-90,[]
2025-01-21 09:48:53.234891776,0.027609055770292656,9998330.02285671,1.2298887450683536,4.199462,17,20,4,7,-87,-85,-91,-92,[]
2025-01-21 09:48:58.165880832,0.027609055770292656,9998294.27437774,1.219926150504259,4.198963,17,20,9,2,-83,-85,-91,-89,[]
2025-01-21 09:49:03.096316160,0.13804527885146328,9998358.62182394,1.4844666883225988,4.220328,17,20,8,4,-83,-85,-91,-89,[]
2025-01-21 09:49:08.041723904,0,9998315.723434446,1.2991755084176426,4.197813,17,20,8,7,-83,-84,-91,-90,[]
2025-01-21 09:49:12.956681984,0,9998332.40609773,0.997657762599805,4.202882,17,20,11,6,-81,-85,-92,-91,[]
2025-01-21 09:49:17.892521984,0,9998294.27437774,1.5242443135078028,4.220442,17,20,6,5,-86,-86,-92,-90,[]
2025-01-21 09:49:22.858364160,0.027609055770292656,9998215.628623834,1.2426213147169414,4.198908,17,20,7,4,-84,-86,-91,-90,[]
2025-01-21 09:49:27.788399104,0.11043622308117063,9998372.92136891,1.0887656166951805,4.200339,17,20,4,5,-87,-84,-91,-89,[]
2025-01-21 09:49:32.749371136,0,9998377.68789299,1.3600192387032912,4.203643,17,20,6,3,-86,-85,-91,-88,[]
2025-01-21 09:49:37.780478976,0,9998303.80728047,2.7482978461465573,4.211688,18,18,3,6,-88,-84,-92,-90,[]
2025-01-21 09:49:42.760071936,0.1932633903920486,9998279.97505773,0.9336069448755547,4.198761,18,18,6,4,-85,-84,-92,-88,[]
2025-01-21 09:49:47.673477888,0.08282716731087797,9998144.13355755,1.4131432175806018,4.204075,18,18,7,8,-84,-83,-92,-91,[]
2025-01-21 09:49:52.607960064,0,9998337.17258318,2.075581400987061,4.219635,18,18,3,7,-88,-84,-92,-91,[]
2025-01-21 09:49:57.560048128,0,9998332.40609773,1.8438191069340404,4.214884,18,18,1,6,-90,-84,-92,-90,[]
2025-01-21 09:50:02.505763072,0.027609055770292656,9998363.388334386,1.2376919450900492,4.214218,18,18,3,6,-89,-84,-92,-90,[]
2025-01-21 09:50:07.519162880,0.027609055770292656,9998239.46053982,0.958387021867399,4.208018,18,18,5,6,-86,-85,-92,-91,[]
2025-01-21 09:50:12.453687808,0.11043622308117063,9998356.238570424,1.6665447068445463,4.215086,18,18,3,6,-89,-84,-91,-89,[]
2025-01-21 09:50:17.401516800,0.08282716731087797,9998349.088816686,2.34957900819467,4.223406,18,18,7,7,-85,-84,-91,-90,[]
2025-01-21 09:50:22.360333824,0.11043622308117063,9998322.873140465,1.218635991056108,4.198152,18,18,2,8,-89,-83,-92,-91,[]
